PERMNO,date,TICKER,PRC
22111,2019/04/26,JNJ,140.39000
22111,2019/04/29,JNJ,139.84000
22111,2019/04/30,JNJ,141.20000
22111,2019/05/01,JNJ,141.95000
22111,2019/05/02,JNJ,141.28000
22111,2019/05/03,JNJ,142.00999
22111,2019/05/06,JNJ,142.09000
22111,2019/05/07,JNJ,139.97000
22111,2019/05/08,JNJ,139.78999
22111,2019/05/09,JNJ,138.73000
22111,2019/05/10,JNJ,139.05000
22111,2019/05/13,JNJ,137.20000
22111,2019/05/14,JNJ,136.82001
22111,2019/05/15,JNJ,136.91000
22111,2019/05/16,JNJ,138.21001
22111,2019/05/17,JNJ,138.61000
22111,2019/05/20,JNJ,138.42000
22111,2019/05/21,JNJ,138.12000
22111,2019/05/22,JNJ,138.75999
22111,2019/05/23,JNJ,139.78999
22111,2019/05/24,JNJ,138.85001
22111,2019/05/28,JNJ,137.07001
22111,2019/05/29,JNJ,131.33000
22111,2019/05/30,JNJ,132.11000
22111,2019/05/31,JNJ,131.14999
22111,2019/06/03,JNJ,131.44000
22111,2019/06/04,JNJ,133.73000
22111,2019/06/05,JNJ,134.38000
22111,2019/06/06,JNJ,136.67999
22111,2019/06/07,JNJ,138.55000
22111,2019/06/10,JNJ,139.02000
22111,2019/06/11,JNJ,139.78000
22111,2019/06/12,JNJ,141.67999
22111,2019/06/13,JNJ,140.71001
22111,2019/06/14,JNJ,140.09000
22111,2019/06/17,JNJ,139.44000
22111,2019/06/18,JNJ,140.23000
22111,2019/06/19,JNJ,140.45000
22111,2019/06/20,JNJ,142.21001
22111,2019/06/21,JNJ,142.09000
22111,2019/06/24,JNJ,143.06000
22111,2019/06/25,JNJ,144.24001
22111,2019/06/26,JNJ,141.85001
22111,2019/06/27,JNJ,140.69000
22111,2019/06/28,JNJ,139.28000
22592,2019/04/01,MMM,211.94000
22592,2019/04/02,MMM,212.13000
22592,2019/04/03,MMM,213.13000
22592,2019/04/04,MMM,215.03000
22592,2019/04/05,MMM,215.41000
22592,2019/04/08,MMM,215.02000
22592,2019/04/09,MMM,211.96001
22592,2019/04/10,MMM,212.11000
22592,2019/04/11,MMM,213.53000
22592,2019/04/12,MMM,217.42000
22592,2019/04/15,MMM,215.83000
22592,2019/04/16,MMM,216.89999
22592,2019/04/17,MMM,217.64000
22592,2019/04/18,MMM,218.88000
22592,2019/04/22,MMM,218.53999
22592,2019/04/23,MMM,219.50000
22592,2019/04/24,MMM,219.08000
22592,2019/04/25,MMM,190.72000
22592,2019/04/26,MMM,191.67000
22592,2019/04/29,MMM,190.21001
22592,2019/04/30,MMM,189.50999
22592,2019/05/01,MMM,186.07001
22592,2019/05/02,MMM,184.75000
22592,2019/05/03,MMM,185.22000
22592,2019/05/06,MMM,183.03999
22592,2019/05/07,MMM,179.12000
22592,2019/05/08,MMM,178.59000
22592,2019/05/09,MMM,175.28000
22592,2019/05/10,MMM,175.86000
22592,2019/05/13,MMM,174.07001
22592,2019/05/14,MMM,175.21001
22592,2019/05/15,MMM,174.12000
22592,2019/05/16,MMM,171.81000
22592,2019/05/17,MMM,169.09000
22592,2019/05/20,MMM,166.25000
22592,2019/05/21,MMM,167.30000
22592,2019/05/22,MMM,169.74001
22592,2019/05/23,MMM,165.87000
22592,2019/05/24,MMM,166.09000
22592,2019/05/28,MMM,163.35001
22592,2019/05/29,MMM,161.39999
22592,2019/05/30,MMM,160.58000
22592,2019/05/31,MMM,159.75000
22592,2019/06/03,MMM,160.03999
22592,2019/06/04,MMM,164.28999
22592,2019/06/05,MMM,163.85001
22592,2019/06/06,MMM,164.72000
22592,2019/06/07,MMM,166.61000
22592,2019/06/10,MMM,168.28999
22592,2019/06/11,MMM,168.91000
22592,2019/06/12,MMM,169.00999
22592,2019/06/13,MMM,168.85001
22592,2019/06/14,MMM,166.69000
22592,2019/06/17,MMM,166.78000
22592,2019/06/18,MMM,171.86000
22592,2019/06/19,MMM,170.75000
22592,2019/06/20,MMM,173.94000
22592,2019/06/21,MMM,173.35001
22592,2019/06/24,MMM,173.38000
22592,2019/06/25,MMM,172.03000
22592,2019/06/26,MMM,171.88000
22592,2019/06/27,MMM,171.50000
22592,2019/06/28,MMM,173.34000
