gvkey,iid,datadate,tic,div
002968,49,2019/05/20,JPM.PD,
002968,49,2019/05/21,JPM.PD,
002968,49,2019/05/22,JPM.PD,
002968,49,2019/05/23,JPM.PD,
002968,49,2019/05/24,JPM.PD,
002968,49,2019/05/28,JPM.PD,
002968,49,2019/05/29,JPM.PD,
002968,49,2019/05/30,JPM.PD,
002968,49,2019/05/31,JPM.PD,
002968,49,2019/06/03,JPM.PD,
002968,49,2019/06/04,JPM.PD,
002968,49,2019/06/05,JPM.PD,
002968,49,2019/06/06,JPM.PD,
002968,49,2019/06/07,JPM.PD,
002968,49,2019/06/10,JPM.PD,
002968,49,2019/06/11,JPM.PD,
002968,49,2019/06/12,JPM.PD,
002968,49,2019/06/13,JPM.PD,
002968,49,2019/06/14,JPM.PD,
002968,49,2019/06/17,JPM.PD,
002968,49,2019/06/18,JPM.PD,
002968,49,2019/06/19,JPM.PD,
002968,49,2019/06/20,JPM.PD,
002968,49,2019/06/21,JPM.PD,
002968,49,2019/06/24,JPM.PD,
002968,49,2019/06/25,JPM.PD,
002968,49,2019/06/26,JPM.PD,
002968,49,2019/06/27,JPM.PD,
002968,49,2019/06/28,JPM.PD,
002968,78,2019/04/01,JPM.PG,
002968,78,2019/04/02,JPM.PG,
002968,78,2019/04/03,JPM.PG,
002968,78,2019/04/04,JPM.PG,
002968,78,2019/04/05,JPM.PG,
002968,78,2019/04/08,JPM.PG,
002968,78,2019/04/09,JPM.PG,
002968,78,2019/04/10,JPM.PG,
002968,78,2019/04/11,JPM.PG,
002968,78,2019/04/12,JPM.PG,
002968,78,2019/04/15,JPM.PG,
002968,78,2019/04/16,JPM.PG,
002968,78,2019/04/17,JPM.PG,
002968,78,2019/04/18,JPM.PG,
002968,78,2019/04/22,JPM.PG,
002968,78,2019/04/23,JPM.PG,
002968,78,2019/04/24,JPM.PG,
002968,78,2019/04/25,JPM.PG,
002968,78,2019/04/26,JPM.PG,
002968,78,2019/04/29,JPM.PG,
002968,78,2019/04/30,JPM.PG,
002968,78,2019/05/01,JPM.PG,0.3813
002968,78,2019/05/02,JPM.PG,
002968,78,2019/05/03,JPM.PG,
002968,78,2019/05/06,JPM.PG,
002968,78,2019/05/07,JPM.PG,
002968,78,2019/05/08,JPM.PG,
002968,78,2019/05/09,JPM.PG,
002968,78,2019/05/10,JPM.PG,
002968,78,2019/05/13,JPM.PG,
002968,78,2019/05/14,JPM.PG,
002968,78,2019/05/15,JPM.PG,
002968,78,2019/05/16,JPM.PG,
002968,78,2019/05/17,JPM.PG,
002968,78,2019/05/20,JPM.PG,
002968,78,2019/05/21,JPM.PG,
002968,78,2019/05/22,JPM.PG,
002968,78,2019/05/23,JPM.PG,
002968,78,2019/05/24,JPM.PG,
002968,78,2019/05/28,JPM.PG,
002968,78,2019/05/29,JPM.PG,
002968,78,2019/05/30,JPM.PG,
002968,78,2019/05/31,JPM.PG,
002968,78,2019/06/03,JPM.PG,
002968,78,2019/06/04,JPM.PG,
002968,78,2019/06/05,JPM.PG,
002968,78,2019/06/06,JPM.PG,
002968,78,2019/06/07,JPM.PG,
002968,78,2019/06/10,JPM.PG,
002968,78,2019/06/11,JPM.PG,
002968,78,2019/06/12,JPM.PG,
002968,78,2019/06/13,JPM.PG,
002968,78,2019/06/14,JPM.PG,
002968,78,2019/06/17,JPM.PG,
002968,78,2019/06/18,JPM.PG,
002968,78,2019/06/19,JPM.PG,
002968,78,2019/06/20,JPM.PG,
002968,78,2019/06/21,JPM.PG,
002968,78,2019/06/24,JPM.PG,
002968,78,2019/06/25,JPM.PG,
002968,78,2019/06/26,JPM.PG,
002968,78,2019/06/27,JPM.PG,
002968,78,2019/06/28,JPM.PG,
002968,82,2019/04/01,JPM.PA,
002968,82,2019/04/02,JPM.PA,
002968,82,2019/04/03,JPM.PA,
002968,82,2019/04/04,JPM.PA,
002968,82,2019/04/05,JPM.PA,
002968,82,2019/04/08,JPM.PA,
002968,82,2019/04/09,JPM.PA,
002968,82,2019/04/10,JPM.PA,
002968,82,2019/04/11,JPM.PA,
002968,82,2019/04/12,JPM.PA,
002968,82,2019/04/15,JPM.PA,
002968,82,2019/04/16,JPM.PA,
002968,82,2019/04/17,JPM.PA,
002968,82,2019/04/18,JPM.PA,
002968,82,2019/04/22,JPM.PA,
002968,82,2019/04/23,JPM.PA,
002968,82,2019/04/24,JPM.PA,
002968,82,2019/04/25,JPM.PA,
002968,82,2019/04/26,JPM.PA,
002968,82,2019/04/29,JPM.PA,
002968,82,2019/04/30,JPM.PA,
002968,82,2019/05/01,JPM.PA,0.3406
002968,82,2019/05/02,JPM.PA,
002968,82,2019/05/03,JPM.PA,
002968,82,2019/05/06,JPM.PA,
002968,82,2019/05/07,JPM.PA,
002968,82,2019/05/08,JPM.PA,
002968,82,2019/05/09,JPM.PA,
002968,82,2019/05/10,JPM.PA,
002968,82,2019/05/13,JPM.PA,
002968,82,2019/05/14,JPM.PA,
002968,82,2019/05/15,JPM.PA,
002968,82,2019/05/16,JPM.PA,
002968,82,2019/05/17,JPM.PA,
002968,82,2019/05/20,JPM.PA,
002968,82,2019/05/21,JPM.PA,
002968,82,2019/05/22,JPM.PA,
002968,82,2019/05/23,JPM.PA,
002968,82,2019/05/24,JPM.PA,
002968,82,2019/05/28,JPM.PA,
002968,82,2019/05/29,JPM.PA,
002968,82,2019/05/30,JPM.PA,
002968,82,2019/05/31,JPM.PA,
002968,82,2019/06/03,JPM.PA,
002968,82,2019/06/04,JPM.PA,
002968,82,2019/06/05,JPM.PA,
002968,82,2019/06/06,JPM.PA,
002968,82,2019/06/07,JPM.PA,
002968,82,2019/06/10,JPM.PA,
002968,82,2019/06/11,JPM.PA,
002968,82,2019/06/12,JPM.PA,
002968,82,2019/06/13,JPM.PA,
002968,82,2019/06/14,JPM.PA,
002968,82,2019/06/17,JPM.PA,
002968,82,2019/06/18,JPM.PA,
002968,82,2019/06/19,JPM.PA,
002968,82,2019/06/20,JPM.PA,
002968,82,2019/06/21,JPM.PA,
002968,82,2019/06/24,JPM.PA,
002968,82,2019/06/25,JPM.PA,
002968,82,2019/06/26,JPM.PA,
002968,82,2019/06/27,JPM.PA,
002968,82,2019/06/28,JPM.PA,
002968,83,2019/04/01,JPM.PC,
002968,83,2019/04/02,JPM.PC,
002968,83,2019/04/03,JPM.PC,
002968,83,2019/04/04,JPM.PC,
002968,83,2019/04/05,JPM.PC,
002968,83,2019/04/08,JPM.PC,
002968,83,2019/04/09,JPM.PC,
002968,83,2019/04/10,JPM.PC,
002968,83,2019/04/11,JPM.PC,
002968,83,2019/04/12,JPM.PC,
002968,83,2019/04/15,JPM.PC,
002968,83,2019/04/16,JPM.PC,
002968,83,2019/04/17,JPM.PC,
002968,83,2019/04/18,JPM.PC,
002968,83,2019/04/22,JPM.PC,
002968,83,2019/04/23,JPM.PC,
002968,83,2019/04/24,JPM.PC,
002968,83,2019/04/25,JPM.PC,
002968,83,2019/04/26,JPM.PC,
002968,83,2019/04/29,JPM.PC,
002968,83,2019/04/30,JPM.PC,
002968,83,2019/05/01,JPM.PC,0.5292
002968,83,2019/05/02,JPM.PC,
002968,83,2019/05/03,JPM.PC,
002968,83,2019/05/06,JPM.PC,
002968,83,2019/05/07,JPM.PC,
002968,83,2019/05/08,JPM.PC,
002968,83,2019/05/09,JPM.PC,
002968,83,2019/05/10,JPM.PC,
002968,83,2019/05/13,JPM.PC,
002968,83,2019/05/14,JPM.PC,
002968,83,2019/05/15,JPM.PC,
002968,83,2019/05/16,JPM.PC,
002968,83,2019/05/17,JPM.PC,
002968,83,2019/05/20,JPM.PC,
002968,83,2019/05/21,JPM.PC,
002968,83,2019/05/22,JPM.PC,
002968,83,2019/05/23,JPM.PC,
002968,83,2019/05/24,JPM.PC,
002968,83,2019/05/28,JPM.PC,
002968,83,2019/05/29,JPM.PC,
002968,83,2019/05/30,JPM.PC,
002968,83,2019/05/31,JPM.PC,
002968,83,2019/06/03,JPM.PC,
002968,83,2019/06/04,JPM.PC,
002968,83,2019/06/05,JPM.PC,
002968,83,2019/06/06,JPM.PC,
002968,83,2019/06/07,JPM.PC,
002968,83,2019/06/10,JPM.PC,
002968,83,2019/06/11,JPM.PC,
002968,83,2019/06/12,JPM.PC,
002968,83,2019/06/13,JPM.PC,
002968,83,2019/06/14,JPM.PC,
002968,83,2019/06/17,JPM.PC,
002968,83,2019/06/18,JPM.PC,
002968,83,2019/06/19,JPM.PC,
002968,83,2019/06/20,JPM.PC,
002968,83,2019/06/21,JPM.PC,
002968,83,2019/06/24,JPM.PC,
002968,83,2019/06/25,JPM.PC,
002968,83,2019/06/26,JPM.PC,
002968,83,2019/06/27,JPM.PC,
002968,83,2019/06/28,JPM.PC,
002968,85,2019/04/01,JPM.PH,
002968,85,2019/04/02,JPM.PH,
002968,85,2019/04/03,JPM.PH,
002968,85,2019/04/04,JPM.PH,
002968,85,2019/04/05,JPM.PH,
002968,85,2019/04/08,JPM.PH,
002968,85,2019/04/09,JPM.PH,
002968,85,2019/04/10,JPM.PH,
002968,85,2019/04/11,JPM.PH,
002968,85,2019/04/12,JPM.PH,
002968,85,2019/04/15,JPM.PH,
002968,85,2019/04/16,JPM.PH,
002968,85,2019/04/17,JPM.PH,
002968,85,2019/04/18,JPM.PH,
002968,85,2019/04/22,JPM.PH,
002968,85,2019/04/23,JPM.PH,
002968,85,2019/04/24,JPM.PH,
002968,85,2019/04/25,JPM.PH,
002968,85,2019/04/26,JPM.PH,
002968,85,2019/04/29,JPM.PH,
002968,85,2019/04/30,JPM.PH,
002968,85,2019/05/01,JPM.PH,0.3844
002968,85,2019/05/02,JPM.PH,
002968,85,2019/05/03,JPM.PH,
